page_number,ad_number,url,title,location,date,id,price,ad_text,phone,Талбай:,Төлбөрийн нөхцөл:,Барилгын явц:,clean_coords
1,1,https://www.unegui.mn/adv/9416469_offis-zarna/,"Шинэ 100 айлд оффис 80,75мкв","УБ — Баянзүрх, Баянзүрх, Хороо 2",Нийтэлсэн: Өнөөдөр 13:21,9416469,"4 сая ₮
үнэ тохирно","100 н айлаас зүүн тийш Шинэ айл барилгын материалын худалдааны төвд оффис зарна.
-Цонх хойшоо болон зүүн харсан
-3 давхарт
-80,75 мк
-Саруулхан өрөө тасалгаатай
-Ажлын 4 н хэсэг өрөө тасалгаатай
-Дотроо нойлгүй (үүдний харалдаа)",N/A,81 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.935624 106.939012
1,2,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өнөөдөр 13:00,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",N/A,39 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.92397 106.902687
2,1,https://www.unegui.mn/adv/9416469_offis-zarna/,"Шинэ 100 айлд оффис 80,75мкв","УБ — Баянзүрх, Баянзүрх, Хороо 2",Нийтэлсэн: Өнөөдөр 13:21,9416469,"4 сая ₮
үнэ тохирно","100 н айлаас зүүн тийш Шинэ айл барилгын материалын худалдааны төвд оффис зарна.
-Цонх хойшоо болон зүүн харсан
-3 давхарт
-80,75 мк
-Саруулхан өрөө тасалгаатай
-Ажлын 4 н хэсэг өрөө тасалгаатай
-Дотроо нойлгүй (үүдний харалдаа)",N/A,81 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.935624 106.939012
2,2,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өнөөдөр 13:00,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",N/A,39 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.92397 106.902687
3,1,https://www.unegui.mn/adv/9416469_offis-zarna/,"Шинэ 100 айлд оффис 80,75мкв","УБ — Баянзүрх, Баянзүрх, Хороо 2",Нийтэлсэн: Өнөөдөр 13:21,9416469,"4 сая ₮
үнэ тохирно","100 н айлаас зүүн тийш Шинэ айл барилгын материалын худалдааны төвд оффис зарна.
-Цонх хойшоо болон зүүн харсан
-3 давхарт
-80,75 мк
-Саруулхан өрөө тасалгаатай
-Ажлын 4 н хэсэг өрөө тасалгаатай
-Дотроо нойлгүй (үүдний харалдаа)",N/A,81 м²,Бэлэн төлөлтөөр зарах боломжтой,Ашиглалтад орсон,47.935624 106.939012
3,2,https://www.unegui.mn/adv/9451753_tasgan-taurt-39-14mkv-offis-talbai-khudaldana/,Тасган таурт 39.14мкв оффис талбай,"УБ — Чингэлтэй, Чингэлтэй, Хороо 5",Нийтэлсэн: Өнөөдөр 13:00,9451753,254.41 сая ₮,"Тасган таурт 39.14мкв оффис талбай худалдана.
Гэрчилгээ бэлэн банкаар авах боломжтой",N/A,39 м²,Банкны зээлээр авах боломжтой,Ашиглалтад орсон,47.92397 106.902687
